Response ID,Parent Status,Concern_No human testing,Concern_Long term side effects,Concern_Not effective,Concern_Not necessary,Concern_Unclear who needs,Concern_not safe for children,Concern_Other,Concern_None,Concern_other text,Vax status,Political affiliation,rid,age,gender,hhi,ethnicity,hispanic,education,region,zip,political_party
R_3erzAvsOtjHEefO,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,"I plan on receiving the updated vaccine, but Im not sure when ",Very Liberal,6568dc28-2318-d1ee-7442-a62278df41f8,26,1,14,15,2,1,3,78566,10
R_2urdHAFSbiC5MIb,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,6568dbcb-635d-82e7-4924-7cdc1c25a723,25,2,1,1,1,2,3,41076,4
R_1MNhIxwsWRF3J26,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Very Liberal,6568dbb6-2bdc-7a13-e1bd-3dc5b9ac2118,46,2,19,1,1,7,1,18902,3
R_2eVfAcSDG0wIauv,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Liberal,6568dbd8-e751-689f-72bd-a87a2a2c341e,86,2,7,1,1,6,3,21921,4
R_2DTu0LYdz15V6iU,0,0,0,0,0,0,The latest COVID-19 vaccine is not safe for children,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Very Liberal,6568dc07-d558-68ea-c5a9-bab952a56905,64,1,21,1,1,2,3,78665,4
R_1DU0Z4h09xRkw0l,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,The latest COVID-19 vaccine is not safe for children,0,0,-99,I plan on receiving the updated vaccine in the next month,Liberal,6568dc83-45a4-ff85-0bf7-22be8a39cd51,28,2,1,1,1,4,1,10460,3
R_PYUChWgQsXAg2JP,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,"I plan on receiving the updated vaccine, but Im not sure when ",Slightly Conservative,6568dc0a-118f-d7c0-1ddc-ef534f1b3e45,48,1,6,1,1,2,3,42516,9
R_3L7NAz1OdzKYNvl,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I donplan on ever receiving the updated COVID-19 vaccine,Liberal,6568db62-e7a1-f810-3090-df13621fafcc,54,1,9,1,1,6,4,89103,1
R_3iwiRmblT93C1s5,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Slightly Liberal,6568db59-c419-156e-c526-524b531f3014,77,1,18,1,1,7,3,32968,3
R_2YJ7eSXgeOxmcUt,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Very Liberal,6568dc18-3363-c0be-f648-0d3966a72cd2,19,2,21,1,1,4,2,53144,1
R_2Cv3RKST2IpmFOQ,0,0,0,0,0,0,0,Some other concern,0,I don't trust any of the covid-19,I donplan on ever receiving the updated COVID-19 vaccine,Not Sure,6568daba-e3a5-f5cd-9414-dc441cfcb16c,62,2,3,1,1,4,3,75471,7
R_z2A20Qw914D1uCJ,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,"I plan on receiving the updated vaccine, but Im not sure when ",Moderate,6568dc31-2cb2-ddff-a8b4-df0fcd6bba68,38,2,1,2,4,4,1,10457,2
R_1JJCSEr8BdL6XoM,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Conservative,6568dc94-98eb-58b2-5a57-6f4717d9168c,58,2,8,1,1,5,4,85085,7
R_1kTwxLtLMUS2x0F,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I already received the updated 2023 COVID-19 vaccine,Slightly Liberal,6568dc6b-ed0e-5006-8705-60bf8e23e71c,65,1,19,1,1,6,2,55427,3
R_1nUCILKrQ8nCuQx,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Conservative,6568dc1e-4a00-4cd7-ae21-646929577b6a,35,2,16,1,1,5,1,13601,9
R_1GwPuC1D1DVVNWm,"I am a parent, guardian, or caretaker of a child 18 or under",0,There is not enough information about long-term side effects of the latest vaccine,0,The latest vaccine is not necessary ,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I plan on receiving the updated vaccine in the next month,Moderate,6568dc05-9c94-303e-79f5-8af7ad1d1490,37,2,2,1,1,2,1,15301,4
R_2ayis3LkaMxklFP,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,0,0,Some other concern,0,Its hard to find for kids ,I already received the updated 2023 COVID-19 vaccine,Liberal,6568dc55-8616-f806-beab-31cf02da97d2,43,2,19,1,1,7,3,40241,1
R_ThJYNpbH5cKeq9X,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Slightly Liberal,6568dc24-a0ff-cc8a-492c-94e45f873a95,49,2,7,1,1,6,3,32669,3
R_2Yc6WFSNWTMRjpU,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,Some other concern,0,Government mandates and misinformation to justify mandates,I donplan on ever receiving the updated COVID-19 vaccine,Liberal,6568daf5-d9bf-b410-f658-b60fd963deec,56,1,22,15,1,6,4,96813,5
R_3HYp4JK8TRiNTb6,"I am a parent, guardian, or caretaker of a child 18 or under",0,There is not enough information about long-term side effects of the latest vaccine,The latest vaccine is not effective enough,0,0,0,0,0,-99,I already received the updated 2023 COVID-19 vaccine,Conservative,6568dc7a-c779-f97f-8e01-87c329e50934,43,1,8,1,1,5,2,46725,8
R_Aj7omF4Trp7vJWF,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,The latest vaccine is not necessary ,0,0,0,0,-99,I plan on receiving the updated vaccine in the next few months,Moderate,6568dc4c-40c9-4b6d-65c2-fc005e79de9e,30,1,4,1,1,2,2,44077,5
R_XZcQ2wRGVQu7taV,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Moderate,6568dbb6-a608-fd97-c5c1-6af3a39d9af6,71,1,3,1,1,2,3,33597,2
R_3qe6UjGVH8sgQIa,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,6568dc2b-78c8-664a-9301-8ded49ceccd6,47,2,5,1,1,6,1,10011,2
R_24DdUPfrkVxeEul,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568dbb8-0f75-3eaa-ed01-5192d8c5a3de,57,1,3,1,1,2,3,78123,4
R_1mzqnUw8SZDlLhR,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Conservative,6568db8a-d136-cf3a-0766-6be95b3b82a0,76,1,3,1,1,5,4,97540,10
R_2qqSYfvC8OxL0ub,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I plan on receiving the updated vaccine in the next few months,Liberal,6568dc7d-1bac-d774-d8cd-542565c643e0,32,1,24,1,1,7,3,73142,1
R_Xil3Hqp5TtFtq3n,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Liberal,6568dbee-15bb-d7fa-282c-650e157a78ef,66,2,5,1,1,7,3,20772,3
R_3PSSzoh6lK7STWs,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,The latest vaccine is not necessary ,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Slightly Conservative,6568dc2c-4b4c-6563-ca4f-7830ccc9134e,46,2,16,1,1,4,3,78259,9
R_1gvXAbRNfaMfVzj,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I plan on receiving the updated vaccine in the next few months,Very Liberal,6568dbe8-9c2b-2a3d-7b32-ae137c76cac0,21,2,5,1,1,4,2,65201,1
R_3peR4hqzQbpO7Mt,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next few months,Liberal,6568dca5-3820-c530-d467-d124219e84e8,75,2,14,1,1,6,1,19086,1
R_20MVekZYwpvnZFo,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Liberal,6568dc42-f3e7-be76-7438-7ce030297934,18,2,24,2,12,2,3,20011,10
R_3rUpNbSIVSCPPny,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568db08-56e0-4f77-493f-dc7b28d55be2,69,1,1,1,1,5,4,80631,4
R_b3CMHgNb7cg2P05,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568dc47-aa42-1cce-4d59-0f319b99210b,58,1,5,1,1,6,3,32701,3
R_2xKaIjLz8bgZkIb,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Liberal,6568dc80-27a9-dcae-1412-9bb775ffe485,60,2,18,1,1,7,3,33029,4
R_2sbyfAuVy7TqxeM,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I already received the updated 2023 COVID-19 vaccine,Conservative,6568dd10-22f7-d7b6-0fb8-b42bd8bed57d,35,1,4,1,1,2,1,07480,8
R_yyIq0mprC0xYkJr,0,0,0,0,The latest vaccine is not necessary ,0,0,0,0,-99,Im not sure,Not Sure,6568dce8-51ac-a0b4-eabd-68d5a0feddfe,42,2,1,1,1,1,1,02720,7
R_2ScYPqkEf26pKOK,0,0,There is not enough information about long-term side effects of the latest vaccine,0,The latest vaccine is not necessary ,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Conservative,6568dc07-b70a-9335-0d63-8aff18524716,72,2,16,1,1,4,1,10467,9
R_1r24omwNLRwFNwl,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,The latest vaccine is not necessary ,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,6568dc81-669e-acc4-dd95-e7718314071a,36,1,9,1,1,2,2,44305,4
R_b3GqcjtgOtov3oZ,0,0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Slightly Conservative,6568dc4c-ff28-e7a8-176f-0dbf64a05a6e,45,1,2,1,1,2,3,76016,10
R_246E95dd5WNOt61,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Slightly Liberal,6568dd25-e569-52c5-4e02-7458889fd5c9,20,2,3,3,2,2,3,72703,2
R_12mf3gsMYcjwCU9,0,0,0,The latest vaccine is not effective enough,0,0,0,0,0,-99,"I plan on receiving the updated vaccine, but Im not sure when ",Slightly Conservative,6568dca6-4fc7-28d7-986d-da2fe3f48787,34,2,8,1,1,5,3,27880,9
R_1FQbb1xGcjIx9zR,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568dc27-34b2-4d55-0713-9e325fbe15ec,67,1,11,1,1,6,3,20148,4
R_2bPmxIejw0La6BC,0,0,0,0,The latest vaccine is not necessary ,0,The latest COVID-19 vaccine is not safe for children,0,0,-99,Im not sure,Slightly Conservative,6568dc47-9a33-f57a-66b4-233079716b8d,63,1,4,1,1,2,1,13132,8
R_3I0pEadEXSzZGBI,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Not Sure,6568dc30-83aa-66cb-4dd0-e554eb2df7b2,37,2,1,2,1,4,1,17074,7
R_uyuwXuYmcAneds5,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Very Liberal,6568dcbe-5d70-946f-3d1d-ac2d1706e532,30,2,19,1,1,8,1,04102,1
R_DDfeUbc5lEZkXM5,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568dc2d-f5c3-b86e-ade7-42e65d7a95b0,69,2,4,1,1,4,1,03820,2
R_2zO3i9XQAzMJr4b,"I am a parent, guardian, or caretaker of a child 18 or under",0,0,0,The latest vaccine is not necessary ,0,0,0,0,-99,Im not sure,Conservative,6568dc14-6e10-4fbc-09ca-35c68a5cd3e3,46,2,16,1,1,4,3,29061,9
R_296uBDbeHudPyfI,0,0,0,0,The latest vaccine is not necessary ,0,0,0,0,-99,Im not sure,Slightly Liberal,6568dc53-ce95-5324-0cb4-ea85281a6103,36,1,8,5,1,6,1,07605,2
R_2zYiia8khD3Xjz8,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Very Liberal,6568dcc2-f187-72f3-9bc3-577cd4218f6f,23,1,1,2,1,1,3,30236,1
R_3fcvn3E3JhAqVcS,"I am a parent, guardian, or caretaker of a child 18 or under",0,There is not enough information about long-term side effects of the latest vaccine,0,The latest vaccine is not necessary ,0,0,0,0,-99,I donplan on ever receiving the updated COVID-19 vaccine,Moderate,6568dd1a-e9c9-f102-3879-88343fe2ff89,43,2,8,1,1,4,2,61856,5
R_2q8UCv7hyavEEqh,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Very Liberal,6568dcfc-0d1f-6db3-e082-702b1528d5bd,35,2,5,1,1,8,2,55119,1
R_1hAVZzOdY5d4r4T,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,Im not sure,Not Sure,6568dd27-d700-97b6-f6da-389019502f2f,40,1,1,2,1,1,3,77028,2
R_1K3YgRhQHgaimBd,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Very Conservative,6568dbed-9d08-e782-a44c-d41e9cf3e6c7,77,1,8,1,1,4,3,28115,9
R_300GKmYeawVOdyq,0,0,0,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,I plan on receiving the updated vaccine in the next month,Moderate,6568dd45-ea56-17cd-4dfe-7beed322a891,31,1,1,1,1,2,4,86314,4
R_3p5tXLcTxzeA9JG,"I am a parent, guardian, or caretaker of a child 18 or under",0,There is not enough information about long-term side effects of the latest vaccine,0,0,0,0,0,0,-99,"I plan on receiving the updated vaccine, but Im not sure when ",Moderate,6568dce1-be4d-3bb5-d9df-4cedb7d222d5,58,2,2,1,1,4,1,08031,4
R_cJdpd7XSTAeIPgl,"I am a parent, guardian, or caretaker of a child 18 or under",0,There is not enough information about long-term side effects of the latest vaccine,0,0,Its unclear who should be vaccinated with this latest vaccine ,0,0,0,-99,Im not sure,Slightly Conservative,6568dd59-ac78-9cfe-fc3e-10931c047c22,32,2,19,1,1,5,2,53575,5
R_26lKBkg2pj6M5N5,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I plan on receiving the updated vaccine in the next month,Moderate,6568dc44-53fb-f54a-727b-c3fa0fff4551,41,2,8,6,1,4,4,97383,5
R_vTrS7uX2S3lK91v,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568dcf3-4919-4350-158b-02c2e71b0d47,77,2,3,1,1,3,4,98405,2
R_3Mrtmkvqe9Swayn,0,0,0,0,0,0,0,0,I don't have concerns about the newest COVID-19 vaccine,-99,I already received the updated 2023 COVID-19 vaccine,Moderate,6568dd8a-02a7-922b-0e91-599b7f70a0b9,70,2,10,1,1,3,2,55406,2
